"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2016",50150.652199,
"AUS","GDP","TOT","USD_CAP","A","2017",50699.175108,
"AUS","GDP","TOT","USD_CAP","A","2018",52907.901588,
"AUS","GDP","TOT","USD_CAP","A","2019",52956.736913,
"AUS","GDP","TOT","USD_CAP","A","2020",54654.22634,
"AUT","GDP","TOT","USD_CAP","A","2016",52665.087457,
"AUT","GDP","TOT","USD_CAP","A","2017",54188.360666,
"AUT","GDP","TOT","USD_CAP","A","2018",57077.725327,
"AUT","GDP","TOT","USD_CAP","A","2019",58656.346377,
"AUT","GDP","TOT","USD_CAP","A","2020",55651.106208,
"BEL","GDP","TOT","USD_CAP","A","2016",48599.202676,
"BEL","GDP","TOT","USD_CAP","A","2017",50442.947518,
"BEL","GDP","TOT","USD_CAP","A","2018",52623.794383,
"BEL","GDP","TOT","USD_CAP","A","2019",54918.053637,
"BEL","GDP","TOT","USD_CAP","A","2020",52781.880047,"P"
"CAN","GDP","TOT","USD_CAP","A","2016",46472.368771,
"CAN","GDP","TOT","USD_CAP","A","2017",48316.716527,
"CAN","GDP","TOT","USD_CAP","A","2018",50239.988278,
"CAN","GDP","TOT","USD_CAP","A","2019",50660.587438,
"CAN","GDP","TOT","USD_CAP","A","2020",48090.986507,
"CZE","GDP","TOT","USD_CAP","A","2016",36101.285601,
"CZE","GDP","TOT","USD_CAP","A","2017",38842.896268,
"CZE","GDP","TOT","USD_CAP","A","2018",41147.631528,
"CZE","GDP","TOT","USD_CAP","A","2019",43326.662998,
"CZE","GDP","TOT","USD_CAP","A","2020",42044.238402,
"DNK","GDP","TOT","USD_CAP","A","2016",51967.020438,
"DNK","GDP","TOT","USD_CAP","A","2017",55356.49009,
"DNK","GDP","TOT","USD_CAP","A","2018",57453.005832,
"DNK","GDP","TOT","USD_CAP","A","2019",59870.025325,
"DNK","GDP","TOT","USD_CAP","A","2020",60566.225614,
"FIN","GDP","TOT","USD_CAP","A","2016",44934.488245,
"FIN","GDP","TOT","USD_CAP","A","2017",47570.270354,
"FIN","GDP","TOT","USD_CAP","A","2018",49700.52107,
"FIN","GDP","TOT","USD_CAP","A","2019",51521.398254,
"FIN","GDP","TOT","USD_CAP","A","2020",50810.730801,
"FRA","GDP","TOT","USD_CAP","A","2016",42855.944562,
"FRA","GDP","TOT","USD_CAP","A","2017",44445.59677,
"FRA","GDP","TOT","USD_CAP","A","2018",46419.314271,
"FRA","GDP","TOT","USD_CAP","A","2019",49344.708712,"P"
"FRA","GDP","TOT","USD_CAP","A","2020",46421.731837,"P"
"DEU","GDP","TOT","USD_CAP","A","2016",50579.483717,
"DEU","GDP","TOT","USD_CAP","A","2017",53071.478374,
"DEU","GDP","TOT","USD_CAP","A","2018",55142.158063,"P"
"DEU","GDP","TOT","USD_CAP","A","2019",56284.936441,"P"
"DEU","GDP","TOT","USD_CAP","A","2020",54315.546336,"P"
"GRC","GDP","TOT","USD_CAP","A","2016",27511.777671,
"GRC","GDP","TOT","USD_CAP","A","2017",28604.794575,
"GRC","GDP","TOT","USD_CAP","A","2018",29652.89144,
"GRC","GDP","TOT","USD_CAP","A","2019",30841.801741,"P"
"GRC","GDP","TOT","USD_CAP","A","2020",28369.403871,"P"
"HUN","GDP","TOT","USD_CAP","A","2016",27947.637585,
"HUN","GDP","TOT","USD_CAP","A","2017",29501.120486,
"HUN","GDP","TOT","USD_CAP","A","2018",31862.882417,
"HUN","GDP","TOT","USD_CAP","A","2019",33961.565566,
"HUN","GDP","TOT","USD_CAP","A","2020",33252.56356,"P"
"ISL","GDP","TOT","USD_CAP","A","2016",53486.615773,
"ISL","GDP","TOT","USD_CAP","A","2017",55638.491978,
"ISL","GDP","TOT","USD_CAP","A","2018",58320.911643,
"ISL","GDP","TOT","USD_CAP","A","2019",60126.541783,
"ISL","GDP","TOT","USD_CAP","A","2020",55213.383661,
"IRL","GDP","TOT","USD_CAP","A","2016",71594.095685,
"IRL","GDP","TOT","USD_CAP","A","2017",77832.00899,
"IRL","GDP","TOT","USD_CAP","A","2018",84781.721928,
"IRL","GDP","TOT","USD_CAP","A","2019",89680.969173,
"IRL","GDP","TOT","USD_CAP","A","2020",95512.586102,
"ITA","GDP","TOT","USD_CAP","A","2016",40267.222623,
"ITA","GDP","TOT","USD_CAP","A","2017",41951.466331,
"ITA","GDP","TOT","USD_CAP","A","2018",43511.514215,
"ITA","GDP","TOT","USD_CAP","A","2019",44950.911658,
"ITA","GDP","TOT","USD_CAP","A","2020",41963.866404,
"JPN","GDP","TOT","USD_CAP","A","2016",40642.704531,
"JPN","GDP","TOT","USD_CAP","A","2017",41531.221619,
"JPN","GDP","TOT","USD_CAP","A","2018",42415.262579,
"JPN","GDP","TOT","USD_CAP","A","2019",42929.661311,
"JPN","GDP","TOT","USD_CAP","A","2020",41775.236553,"E"
"KOR","GDP","TOT","USD_CAP","A","2016",39575.302078,
"KOR","GDP","TOT","USD_CAP","A","2017",40957.347064,
"KOR","GDP","TOT","USD_CAP","A","2018",42486.739807,
"KOR","GDP","TOT","USD_CAP","A","2019",42849.560289,
"KOR","GDP","TOT","USD_CAP","A","2020",43318.886116,"P"
"LUX","GDP","TOT","USD_CAP","A","2016",112955.470175,
"LUX","GDP","TOT","USD_CAP","A","2017",114862.528755,
"LUX","GDP","TOT","USD_CAP","A","2018",117080.390255,
"LUX","GDP","TOT","USD_CAP","A","2019",119127.51185,
"LUX","GDP","TOT","USD_CAP","A","2020",118726.496944,
"MEX","GDP","TOT","USD_CAP","A","2016",19516.145022,
"MEX","GDP","TOT","USD_CAP","A","2017",19947.197691,
"MEX","GDP","TOT","USD_CAP","A","2018",20519.57785,
"MEX","GDP","TOT","USD_CAP","A","2019",20748.032715,"P"
"MEX","GDP","TOT","USD_CAP","A","2020",19322.069222,"P"
"NLD","GDP","TOT","USD_CAP","A","2016",52289.404292,
"NLD","GDP","TOT","USD_CAP","A","2017",55089.58143,
"NLD","GDP","TOT","USD_CAP","A","2018",57899.824961,
"NLD","GDP","TOT","USD_CAP","A","2019",59674.76803,"P"
"NLD","GDP","TOT","USD_CAP","A","2020",59334.696849,"P"
"NZL","GDP","TOT","USD_CAP","A","2016",39719.042939,
"NZL","GDP","TOT","USD_CAP","A","2017",42074.660571,
"NZL","GDP","TOT","USD_CAP","A","2018",43738.114648,
"NZL","GDP","TOT","USD_CAP","A","2019",44612.279404,
"NZL","GDP","TOT","USD_CAP","A","2020",44011.180216,"E"
"NOR","GDP","TOT","USD_CAP","A","2016",58923.240139,
"NOR","GDP","TOT","USD_CAP","A","2017",64050.366694,
"NOR","GDP","TOT","USD_CAP","A","2018",69709.381608,
"NOR","GDP","TOT","USD_CAP","A","2019",68343.740792,
"NOR","GDP","TOT","USD_CAP","A","2020",63293.196907,
"POL","GDP","TOT","USD_CAP","A","2016",27985.340009,
"POL","GDP","TOT","USD_CAP","A","2017",29714.590984,
"POL","GDP","TOT","USD_CAP","A","2018",31613.688164,
"POL","GDP","TOT","USD_CAP","A","2019",33858.276341,
"POL","GDP","TOT","USD_CAP","A","2020",34044.534932,
"PRT","GDP","TOT","USD_CAP","A","2016",31607.610185,
"PRT","GDP","TOT","USD_CAP","A","2017",33044.70015,
"PRT","GDP","TOT","USD_CAP","A","2018",34931.85988,
"PRT","GDP","TOT","USD_CAP","A","2019",36945.039955,
"PRT","GDP","TOT","USD_CAP","A","2020",34118.737554,"P"
"SVK","GDP","TOT","USD_CAP","A","2016",29645.701303,
"SVK","GDP","TOT","USD_CAP","A","2017",30066.187534,
"SVK","GDP","TOT","USD_CAP","A","2018",31535.3008,
"SVK","GDP","TOT","USD_CAP","A","2019",32613.732521,
"SVK","GDP","TOT","USD_CAP","A","2020",32004.152318,
"ESP","GDP","TOT","USD_CAP","A","2016",37313.634913,
"ESP","GDP","TOT","USD_CAP","A","2017",39580.188366,
"ESP","GDP","TOT","USD_CAP","A","2018",40747.03298,
"ESP","GDP","TOT","USD_CAP","A","2019",42197.335356,"P"
"ESP","GDP","TOT","USD_CAP","A","2020",38341.434405,"P"
"SWE","GDP","TOT","USD_CAP","A","2016",50430.174559,
"SWE","GDP","TOT","USD_CAP","A","2017",51947.942867,
"SWE","GDP","TOT","USD_CAP","A","2018",53553.312077,
"SWE","GDP","TOT","USD_CAP","A","2019",55337.872219,
"SWE","GDP","TOT","USD_CAP","A","2020",54929.524629,
"CHE","GDP","TOT","USD_CAP","A","2016",68105.138178,
"CHE","GDP","TOT","USD_CAP","A","2017",69103.567686,
"CHE","GDP","TOT","USD_CAP","A","2018",71671.505477,
"CHE","GDP","TOT","USD_CAP","A","2019",73143.783305,
"CHE","GDP","TOT","USD_CAP","A","2020",71705.429204,"P"
"TUR","GDP","TOT","USD_CAP","A","2016",26695.909373,
"TUR","GDP","TOT","USD_CAP","A","2017",28193.061398,
"TUR","GDP","TOT","USD_CAP","A","2018",28266.686871,
"TUR","GDP","TOT","USD_CAP","A","2019",27584.46933,
"TUR","GDP","TOT","USD_CAP","A","2020",28435.402188,
"GBR","GDP","TOT","USD_CAP","A","2016",44610.565649,
"GBR","GDP","TOT","USD_CAP","A","2017",46385.63354,
"GBR","GDP","TOT","USD_CAP","A","2018",47880.772251,
"GBR","GDP","TOT","USD_CAP","A","2019",49362.791164,
"GBR","GDP","TOT","USD_CAP","A","2020",45944.460428,
"USA","GDP","TOT","USD_CAP","A","2016",57846.274282,
"USA","GDP","TOT","USD_CAP","A","2017",59896.756042,
"USA","GDP","TOT","USD_CAP","A","2018",62783.978541,
"USA","GDP","TOT","USD_CAP","A","2019",65055.785369,
"USA","GDP","TOT","USD_CAP","A","2020",63285.232257,
"CHL","GDP","TOT","USD_CAP","A","2016",23349.677001,
"CHL","GDP","TOT","USD_CAP","A","2017",24402.005375,
"CHL","GDP","TOT","USD_CAP","A","2018",24686.142367,
"CHL","GDP","TOT","USD_CAP","A","2019",25856.985466,
"CHL","GDP","TOT","USD_CAP","A","2020",24647.630462,"E"
"CHN","GDP","TOT","USD_CAP","A","2016",13532.915183,
"CHN","GDP","TOT","USD_CAP","A","2017",14306.396116,
"COL","GDP","TOT","USD_CAP","A","2016",14054.69606,
"COL","GDP","TOT","USD_CAP","A","2017",14479.812544,
"COL","GDP","TOT","USD_CAP","A","2018",15256.201618,
"COL","GDP","TOT","USD_CAP","A","2019",16077.321381,"P"
"COL","GDP","TOT","USD_CAP","A","2020",14999.32554,"E"
"EST","GDP","TOT","USD_CAP","A","2016",31310.152103,
"EST","GDP","TOT","USD_CAP","A","2017",33867.803542,
"EST","GDP","TOT","USD_CAP","A","2018",36236.794279,
"EST","GDP","TOT","USD_CAP","A","2019",38354.573733,
"EST","GDP","TOT","USD_CAP","A","2020",37984.473561,
"IND","GDP","TOT","USD_CAP","A","2016",5901.21084,
"IDN","GDP","TOT","USD_CAP","A","2016",10610.141435,
"IDN","GDP","TOT","USD_CAP","A","2017",11050.882373,
"ISR","GDP","TOT","USD_CAP","A","2016",37854.845318,
"ISR","GDP","TOT","USD_CAP","A","2017",39137.375997,
"ISR","GDP","TOT","USD_CAP","A","2018",40698.264187,
"ISR","GDP","TOT","USD_CAP","A","2019",42313.763663,
"ISR","GDP","TOT","USD_CAP","A","2020",42402.740014,
"RUS","GDP","TOT","USD_CAP","A","2016",24128.081806,
"RUS","GDP","TOT","USD_CAP","A","2017",25926.431403,
"RUS","GDP","TOT","USD_CAP","A","2018",28681.779438,
"RUS","GDP","TOT","USD_CAP","A","2019",29188.845686,
"RUS","GDP","TOT","USD_CAP","A","2020",28219.917958,"E"
"SVN","GDP","TOT","USD_CAP","A","2016",33942.76789,
"SVN","GDP","TOT","USD_CAP","A","2017",36517.579273,
"SVN","GDP","TOT","USD_CAP","A","2018",38953.468586,
"SVN","GDP","TOT","USD_CAP","A","2019",41184.960119,
"SVN","GDP","TOT","USD_CAP","A","2020",40073.263783,
"ZAF","GDP","TOT","USD_CAP","A","2016",12827.603574,
"ZAF","GDP","TOT","USD_CAP","A","2017",12952.21634,
"ZAF","GDP","TOT","USD_CAP","A","2018",13198.249784,
"ZAF","GDP","TOT","USD_CAP","A","2019",13285.683324,
"ZAF","GDP","TOT","USD_CAP","A","2020",12354.983628,
"OECD","GDP","TOT","USD_CAP","A","2016",41885.947931,
"OECD","GDP","TOT","USD_CAP","A","2017",43486.53051,
"OECD","GDP","TOT","USD_CAP","A","2018",45216.544301,"E"
"OECD","GDP","TOT","USD_CAP","A","2019",46505.368389,"E"
"OECD","GDP","TOT","USD_CAP","A","2020",44986.358087,"E"
"OECDE","GDP","TOT","USD_CAP","A","2016",40655.704835,
"OECDE","GDP","TOT","USD_CAP","A","2017",42601.251143,
"OECDE","GDP","TOT","USD_CAP","A","2018",44269.43776,"P"
"OECDE","GDP","TOT","USD_CAP","A","2019",45676.61358,"P"
"OECDE","GDP","TOT","USD_CAP","A","2020",43900.631933,"P"
"LVA","GDP","TOT","USD_CAP","A","2016",26724.459825,
"LVA","GDP","TOT","USD_CAP","A","2017",28689.57466,
"LVA","GDP","TOT","USD_CAP","A","2018",30825.8716,
"LVA","GDP","TOT","USD_CAP","A","2019",32251.472213,
"LVA","GDP","TOT","USD_CAP","A","2020",32224.025985,
"BRA","GDP","TOT","USD_CAP","A","2016",14326.10209,
"BRA","GDP","TOT","USD_CAP","A","2017",14596.889676,
"BRA","GDP","TOT","USD_CAP","A","2018",15090.63762,
"LTU","GDP","TOT","USD_CAP","A","2016",30925.151813,
"LTU","GDP","TOT","USD_CAP","A","2017",33761.906595,
"LTU","GDP","TOT","USD_CAP","A","2018",36365.37958,
"LTU","GDP","TOT","USD_CAP","A","2019",38805.780253,
"LTU","GDP","TOT","USD_CAP","A","2020",39189.390851,
"SAU","GDP","TOT","USD_CAP","A","2016",46289.737315,
"SAU","GDP","TOT","USD_CAP","A","2017",47862.022249,
"SAU","GDP","TOT","USD_CAP","A","2018",49157.12264,
"SAU","GDP","TOT","USD_CAP","A","2019",49020.211911,
"SAU","GDP","TOT","USD_CAP","A","2020",46362.649486,
"EA19","GDP","TOT","USD_CAP","A","2016",43631.107969,
"EA19","GDP","TOT","USD_CAP","A","2017",45709.247197,
"EA19","GDP","TOT","USD_CAP","A","2018",47660.652809,
"EA19","GDP","TOT","USD_CAP","A","2019",49466.869652,
"EA19","GDP","TOT","USD_CAP","A","2020",47095.370613,
"ARG","GDP","TOT","USD_CAP","A","2016",20307.870053,
"ARG","GDP","TOT","USD_CAP","A","2017",23597.117759,
"ARG","GDP","TOT","USD_CAP","A","2018",23305.847425,
"ARG","GDP","TOT","USD_CAP","A","2019",22996.985521,
"CRI","GDP","TOT","USD_CAP","A","2016",19119.336147,
"CRI","GDP","TOT","USD_CAP","A","2017",20368.230268,
"CRI","GDP","TOT","USD_CAP","A","2018",20988.161555,"E"
"CRI","GDP","TOT","USD_CAP","A","2019",21759.381303,"E"
"CRI","GDP","TOT","USD_CAP","A","2020",21043.575301,"E"
"BGR","GDP","TOT","USD_CAP","A","2016",20074.333169,
"BGR","GDP","TOT","USD_CAP","A","2017",21469.942087,
"BGR","GDP","TOT","USD_CAP","A","2018",22957.230311,
"BGR","GDP","TOT","USD_CAP","A","2019",24707.177964,
"BGR","GDP","TOT","USD_CAP","A","2020",24626.059448,"P"
"HRV","GDP","TOT","USD_CAP","A","2016",25222.481625,
"HRV","GDP","TOT","USD_CAP","A","2017",27119.090311,
"HRV","GDP","TOT","USD_CAP","A","2018",28938.914771,
"HRV","GDP","TOT","USD_CAP","A","2019",30974.823593,
"HRV","GDP","TOT","USD_CAP","A","2020",29119.815227,"E"
"CYP","GDP","TOT","USD_CAP","A","2016",35719.036739,
"CYP","GDP","TOT","USD_CAP","A","2017",38288.069099,
"CYP","GDP","TOT","USD_CAP","A","2018",40816.686301,
"CYP","GDP","TOT","USD_CAP","A","2019",42861.329926,
"CYP","GDP","TOT","USD_CAP","A","2020",39857.619929,"P"
"MLT","GDP","TOT","USD_CAP","A","2016",39774.055146,
"MLT","GDP","TOT","USD_CAP","A","2017",43530.402203,
"MLT","GDP","TOT","USD_CAP","A","2018",45811.440625,
"MLT","GDP","TOT","USD_CAP","A","2019",48269.429923,
"MLT","GDP","TOT","USD_CAP","A","2020",44200.322498,
"ROU","GDP","TOT","USD_CAP","A","2016",24266.283962,
"ROU","GDP","TOT","USD_CAP","A","2017",27136.07319,
"ROU","GDP","TOT","USD_CAP","A","2018",29244.574126,
"ROU","GDP","TOT","USD_CAP","A","2019",32317.038169,
"ROU","GDP","TOT","USD_CAP","A","2020",31875.149114,"P"
"MKD","GDP","TOT","USD_CAP","A","2016",15137.967397,"E"
"MKD","GDP","TOT","USD_CAP","A","2017",15706.430869,"E"
"MKD","GDP","TOT","USD_CAP","A","2018",16725.791726,"E"
"ZMB","GDP","TOT","USD_CAP","A","2016",3405.832772,
"ZMB","GDP","TOT","USD_CAP","A","2017",3484.940724,
"ZMB","GDP","TOT","USD_CAP","A","2018",3637.368088,
"HKG","GDP","TOT","USD_CAP","A","2016",57221.969152,"E"
"HKG","GDP","TOT","USD_CAP","A","2017",59846.819225,"E"
"HKG","GDP","TOT","USD_CAP","A","2018",62556.2405,"E"
"MDG","GDP","TOT","USD_CAP","A","2016",1624.383829,"E"
"MDG","GDP","TOT","USD_CAP","A","2017",1601.521574,"E"
"MDG","GDP","TOT","USD_CAP","A","2018",1655.481656,"E"
"MAR","GDP","TOT","USD_CAP","A","2016",7312.810289,"E"
"MAR","GDP","TOT","USD_CAP","A","2017",7581.215412,"E"
"MAR","GDP","TOT","USD_CAP","A","2018",7928.326114,"E"
"SGP","GDP","TOT","USD_CAP","A","2016",89396.724443,
"SGP","GDP","TOT","USD_CAP","A","2017",94945.250892,
"SGP","GDP","TOT","USD_CAP","A","2018",101280.413499,
"EU27_2020","GDP","TOT","USD_CAP","A","2016",39222.741442,
"EU27_2020","GDP","TOT","USD_CAP","A","2017",40792.347588,
"EU27_2020","GDP","TOT","USD_CAP","A","2018",42138.419711,
"EU27_2020","GDP","TOT","USD_CAP","A","2019",43554.202788,
"EU27_2020","GDP","TOT","USD_CAP","A","2020",41584.424106,
